city,pollutant_id,pollutant_avg
Barmer,PM10,104.0
Barmer,PM2.5,36.0
Barmer,SO2,4.0
Barrackpore,CO,39.0
Barrackpore,NH3,14.0
Barrackpore,NO2,14.0
Barrackpore,OZONE,5.0
Barrackpore,PM10,43.0
Barrackpore,PM2.5,25.0
Barrackpore,SO2,14.0
Bathinda,CO,14.0
Bathinda,NO2,44.0
Bathinda,PM10,27.0
Bathinda,PM2.5,24.0
Bathinda,SO2,12.0
Begusarai,CO,54.0
Begusarai,NH3,4.0
Begusarai,NO2,17.0
Begusarai,OZONE,42.0
Begusarai,PM10,46.0
Begusarai,PM2.5,42.0
Begusarai,SO2,14.0
Belapur,CO,20.0
Belapur,NH3,1.0
Belapur,NO2,12.0
Belapur,OZONE,12.0
Belapur,PM10,28.0
Belapur,PM2.5,20.0
Belapur,SO2,3.0
Belgaum,CO,17.0
Belgaum,NH3,25.940549828178693
Belgaum,NO2,18.0
Belgaum,OZONE,19.0
Belgaum,PM10,16.0
Belgaum,PM2.5,12.0
Belgaum,SO2,9.0
Bengaluru,CO,25.39405498281787
Bengaluru,NH3,2.625
Bengaluru,NO2,21.54004998437988
Bengaluru,OZONE,18.77777777777778
Bengaluru,PM10,41.78810996563574
Bengaluru,PM2.5,22.993394425353188
Bengaluru,SO2,10.994595438925336
Bettiah,CO,47.0
Bettiah,NH3,6.0
Bettiah,NO2,9.0
Bettiah,OZONE,23.0
Bettiah,PM10,29.0
Bettiah,PM2.5,16.0
Bhagalpur,CO,31.0
Bhagalpur,NH3,3.0
Bhagalpur,NO2,15.0
Bhagalpur,OZONE,13.0
Bhagalpur,PM10,44.5
Bhagalpur,PM2.5,20.5
Bhagalpur,SO2,51.5
Bharatpur,CO,37.0
Bharatpur,NH3,7.0
Bharatpur,NO2,16.0
Bharatpur,OZONE,17.0
Bharatpur,PM10,36.0
Bharatpur,PM2.5,32.0
Bharatpur,SO2,4.0
Bhilai,CO,18.313516609392895
Bhilai,NH3,10.980183276059563
Bhilai,NO2,17.980183276059563
Bhilai,OZONE,16.313516609392895
Bhilai,PM10,21.64684994272623
Bhilai,PM2.5,18.313516609392895
Bhilai,SO2,13.646849942726229
Bhilwara,CO,14.0
Bhilwara,NH3,4.0
Bhilwara,NO2,21.0
Bhilwara,OZONE,5.0
Bhilwara,PM10,76.0
Bhilwara,PM2.5,37.0
Bhilwara,SO2,15.0
Bhiwadi,CO,38.5
Bhiwadi,NH3,4.5
Bhiwadi,NO2,21.5
Bhiwadi,OZONE,10.5
Bhiwadi,PM10,83.5
Bhiwadi,PM2.5,91.0
Bhiwadi,SO2,10.0
Bhiwandi,CO,37.0
Bhiwandi,NH3,6.0
Bhiwandi,NO2,36.0
Bhiwandi,OZONE,17.0
Bhiwandi,PM10,49.0
Bhiwandi,PM2.5,37.0
Bhiwandi,SO2,13.0
Bhopal,CO,17.333333333333332
Bhopal,NH3,4.0
Bhopal,NO2,20.666666666666668
Bhopal,OZONE,18.666666666666668
Bhopal,PM10,37.0
Bhopal,PM2.5,33.333333333333336
Bhopal,SO2,17.5
Bhubaneswar,CO,20.470274914089345
Bhubaneswar,NH3,4.0
Bhubaneswar,NO2,12.0
Bhubaneswar,OZONE,27.0
Bhubaneswar,PM10,27.5
Bhubaneswar,PM2.5,11.5
Bhubaneswar,SO2,5.5
Bihar Sharif,CO,2.0
Bihar Sharif,NH3,2.0
Bihar Sharif,NO2,9.0
Bihar Sharif,OZONE,27.0
Bihar Sharif,PM10,85.0
Bihar Sharif,PM2.5,88.0
Bihar Sharif,SO2,9.0
Bikaner,CO,18.0
Bikaner,NH3,4.0
Bikaner,NO2,12.0
Bikaner,OZONE,12.0
Bikaner,PM10,89.0
Bikaner,PM2.5,29.0
Bikaner,SO2,3.0
Bilaspur,CO,40.0
Bilaspur,NO2,19.0
Bilaspur,PM10,34.0
Bilaspur,PM2.5,25.0
Bilaspur,SO2,16.0
Bileipada,CO,38.0
Bileipada,NH3,4.0
Bileipada,NO2,6.0
Bileipada,OZONE,12.0
Bileipada,PM10,25.0
Bileipada,PM2.5,14.0
Bileipada,SO2,12.0
Boisar,CO,22.0
Boisar,NH3,10.0
Boisar,NO2,10.0
Boisar,OZONE,31.0
Boisar,PM10,65.0
Boisar,PM2.5,46.0
Boisar,SO2,15.0
Brajrajnagar,CO,76.0
Brajrajnagar,NH3,8.0
Brajrajnagar,OZONE,25.0
Brajrajnagar,PM10,28.0
Brajrajnagar,PM2.5,20.0
Brajrajnagar,SO2,16.0
Bulandshahr,CO,38.0
Bulandshahr,NH3,9.0
Bulandshahr,NO2,11.0
Bulandshahr,OZONE,5.0
Bulandshahr,PM10,63.0
Bulandshahr,PM2.5,57.0
Bulandshahr,SO2,6.0
Bundi,CO,18.0
Bundi,NH3,2.0
Bundi,NO2,11.0
Bundi,OZONE,13.0
Bundi,PM10,21.0
Bundi,PM2.5,14.0
Bundi,SO2,8.0
Buxar,CO,25.0
Buxar,NH3,3.0
Buxar,NO2,9.0
Buxar,OZONE,5.0
Buxar,PM10,70.0
Buxar,PM2.5,63.0
Buxar,SO2,4.0
Byasanagar,CO,14.0
Byasanagar,NH3,1.0
Byasanagar,NO2,17.0
Byasanagar,OZONE,27.0
Byasanagar,PM10,16.0
Byasanagar,PM2.5,9.0
Byasanagar,SO2,3.0
Byrnihat,CO,50.0
Byrnihat,NH3,25.940549828178693
Byrnihat,NO2,25.940549828178693
Byrnihat,OZONE,22.0
Byrnihat,PM10,25.940549828178693
Byrnihat,PM2.5,25.940549828178693
Byrnihat,SO2,25.940549828178693
Chandigarh,CO,34.0
Chandigarh,NH3,9.0
Chandigarh,NO2,20.333333333333332
Chandigarh,OZONE,19.666666666666668
Chandigarh,PM10,34.64684994272623
Chandigarh,PM2.5,34.64684994272623
Chandigarh,SO2,7.0
Chandrapur,CO,35.0
Chandrapur,NH3,2.5
Chandrapur,NO2,10.0
Chandrapur,OZONE,17.5
Chandrapur,PM10,45.5
Chandrapur,PM2.5,40.5
Chandrapur,SO2,17.0
Chengalpattu,CO,8.0
Chengalpattu,NH3,2.0
Chengalpattu,NO2,10.0
Chengalpattu,OZONE,12.0
Chengalpattu,PM10,39.0
Chengalpattu,PM2.5,33.0
Chengalpattu,SO2,9.0
Chennai,CO,34.333333333333336
Chennai,NH3,7.277221404025527
Chennai,NO2,13.848649975454098
Chennai,OZONE,20.0
Chennai,PM10,70.71428571428571
Chennai,PM2.5,35.42007854688267
Chennai,SO2,9.277221404025527
Chhal,CO,29.0
Chhal,NH3,6.0
Chhal,NO2,51.0
Chhal,OZONE,19.0
Chhal,PM10,69.0
Chhal,PM2.5,37.0
Chhal,SO2,25.940549828178693
Chhapra,CO,4.0
Chhapra,NH3,4.0
Chhapra,NO2,114.0
Chhapra,OZONE,3.0
Chhapra,PM10,49.0
Chhapra,PM2.5,48.0
Chhapra,SO2,9.0
Chikkaballapur,CO,11.0
Chikkaballapur,NH3,2.0
Chikkaballapur,NO2,15.0
Chikkaballapur,OZONE,20.0
Chikkaballapur,PM10,17.0
Chikkaballapur,PM2.5,11.0
Chikkaballapur,SO2,8.0
Chikkamagaluru,CO,11.0
Chikkamagaluru,NH3,3.0
Chikkamagaluru,NO2,22.0
Chikkamagaluru,OZONE,21.0
Chikkamagaluru,PM10,24.0
Chikkamagaluru,PM2.5,7.0
Chikkamagaluru,SO2,3.0
Chittoor,CO,54.0
Chittoor,NH3,12.0
Chittoor,NO2,34.0
Chittoor,OZONE,60.0
Chittoor,PM10,76.0
Chittoor,PM2.5,93.0
Chittoor,SO2,22.0
Chittorgarh,CO,13.0
Chittorgarh,NH3,4.0
Chittorgarh,NO2,19.0
Chittorgarh,OZONE,5.0
Chittorgarh,PM10,68.0
Chittorgarh,PM2.5,51.0
Chittorgarh,SO2,9.0
Churu,CO,23.0
Churu,NH3,3.0
Churu,NO2,6.0
Churu,OZONE,14.0
Churu,PM10,54.0
Churu,PM2.5,31.0
Churu,SO2,3.0
Coimbatore,CO,25.940549828178693
Coimbatore,NH3,1.5
Coimbatore,NO2,8.0
Coimbatore,OZONE,3.0
Coimbatore,PM10,29.470274914089345
Coimbatore,PM2.5,33.470274914089345
Coimbatore,SO2,13.0
Cuddalore,NH3,3.0
Cuddalore,NO2,12.0
Cuddalore,OZONE,5.0
Cuddalore,PM10,15.5
Cuddalore,PM2.5,17.5
Cuddalore,SO2,17.0
Cuttack,CO,29.0
Cuttack,NH3,2.0
Cuttack,NO2,8.0
Cuttack,OZONE,15.0
Cuttack,PM10,21.0
Cuttack,PM2.5,12.0
Cuttack,SO2,3.0
Dausa,CO,45.0
Dausa,NH3,5.0
Dausa,NO2,13.0
Dausa,OZONE,22.0
Dausa,PM10,73.0
Dausa,PM2.5,23.0
Dausa,SO2,5.0
Davanagere,CO,21.0
Davanagere,NH3,2.0
Davanagere,NO2,14.0
Davanagere,OZONE,25.0
Davanagere,PM10,19.0
Davanagere,PM2.5,26.0
Davanagere,SO2,4.0
Dehradun,CO,25.940549828178693
Dehradun,NO2,1.0
Dehradun,OZONE,20.0
Dehradun,PM10,18.0
Dehradun,PM2.5,23.0
Delhi,CO,38.246697212676594
Delhi,NH3,7.931648376011529
Delhi,NO2,35.7600289383252
Delhi,OZONE,13.75514999535618
Delhi,PM10,102.36685657442575
Delhi,PM2.5,92.26159341653101
Delhi,SO2,14.340034364261168
Dewas,CO,14.0
Dewas,NH3,2.0
Dewas,NO2,46.0
Dewas,OZONE,29.0
Dewas,PM10,45.0
Dewas,PM2.5,35.0
Dewas,SO2,42.0
Dhanbad,CO,13.0
Dhanbad,NO2,99.0
Dhanbad,OZONE,25.940549828178693
Dhanbad,PM10,32.0
Dhanbad,PM2.5,25.940549828178693
Dhanbad,SO2,57.0
Dharwad,CO,23.0
Dharwad,OZONE,17.0
Dharwad,PM10,50.0
Dharwad,SO2,3.0
Dholpur,CO,25.940549828178693
Dholpur,NH3,25.940549828178693
Dholpur,NO2,25.940549828178693
Dholpur,OZONE,25.940549828178693
Dholpur,PM10,25.940549828178693
Dholpur,PM2.5,25.940549828178693
Dholpur,SO2,25.940549828178693
Dhule,CO,25.940549828178693
Dhule,NH3,25.940549828178693
Dhule,NO2,25.940549828178693
Dhule,OZONE,25.940549828178693
Dhule,PM10,25.940549828178693
Dhule,PM2.5,25.940549828178693
Dhule,SO2,25.940549828178693
Dindigul,CO,8.0
Dindigul,NH3,2.0
Dindigul,NO2,8.0
Dindigul,OZONE,8.0
Dindigul,PM10,26.0
Dindigul,PM2.5,17.0
Dindigul,SO2,21.0
Dungarpur,CO,20.0
Dungarpur,NH3,2.0
Dungarpur,NO2,3.0
Dungarpur,OZONE,18.0
Dungarpur,PM10,28.0
Dungarpur,PM2.5,19.0
Dungarpur,SO2,3.0
Durgapur,CO,32.666666666666664
Durgapur,NH3,2.3333333333333335
Durgapur,NO2,15.333333333333334
Durgapur,OZONE,12.666666666666666
Durgapur,PM10,55.666666666666664
Durgapur,PM2.5,26.333333333333332
Durgapur,SO2,14.0
Eloor,CO,75.0
Eloor,NO2,8.0
Eloor,OZONE,12.0
Eloor,PM10,39.0
Eloor,PM2.5,60.0
Eloor,SO2,1.0
Firozabad,CO,13.0
Firozabad,NH3,2.0
Firozabad,NO2,16.0
Firozabad,OZONE,11.5
Firozabad,PM10,43.0
Firozabad,PM2.5,38.0
Firozabad,SO2,15.0
Gandhinagar,CO,24.293699885452458
Gandhinagar,NH3,2.0
Gandhinagar,NO2,11.0
Gandhinagar,OZONE,7.666666666666667
Gandhinagar,PM10,49.666666666666664
Gandhinagar,PM2.5,34.333333333333336
Gandhinagar,SO2,8.0
Gangtok,CO,2.0
Gangtok,NH3,1.0
Gangtok,NO2,25.940549828178693
Gangtok,OZONE,25.0
Gangtok,PM10,20.0
Gangtok,PM2.5,14.0
Gangtok,SO2,1.0
Gaya,CO,30.333333333333332
Gaya,NH3,4.0
Gaya,NO2,8.0
Gaya,OZONE,17.333333333333332
Gaya,PM10,39.5
Gaya,PM2.5,24.0
Gaya,SO2,12.5
Ghaziabad,CO,37.25
Ghaziabad,NH3,5.25
Ghaziabad,NO2,26.75
Ghaziabad,OZONE,23.25
Ghaziabad,PM10,106.0
Ghaziabad,PM2.5,94.25
Ghaziabad,SO2,15.5
Gorakhpur,CO,5.0
Gorakhpur,NH3,1.0
Gorakhpur,NO2,11.0
Gorakhpur,OZONE,35.0
Gorakhpur,PM10,36.0
Gorakhpur,PM2.5,35.0
Gorakhpur,SO2,23.0
Greater Noida,CO,40.5
Greater Noida,NH3,7.5
Greater Noida,NO2,25.0
Greater Noida,OZONE,23.5
Greater Noida,PM10,117.5
Greater Noida,PM2.5,59.0
Greater Noida,SO2,12.0
Gummidipoondi,NH3,3.0
Gummidipoondi,NO2,4.0
Gummidipoondi,PM10,112.0
Gummidipoondi,PM2.5,111.0
Gummidipoondi,SO2,24.0
Gurugram,CO,41.0
Gurugram,NO2,8.0
Gurugram,OZONE,18.0
Gurugram,PM10,79.0
Gurugram,PM2.5,77.0
Guwahati,CO,25.333333333333332
Guwahati,NH3,7.5
Guwahati,NO2,8.0
Guwahati,OZONE,19.64684994272623
Guwahati,PM10,32.333333333333336
Guwahati,PM2.5,32.666666666666664
Guwahati,SO2,23.666666666666668
Gwalior,CO,23.666666666666668
Gwalior,NH3,3.0
Gwalior,NO2,16.333333333333332
Gwalior,OZONE,26.333333333333332
Gwalior,PM10,71.0
Gwalior,PM2.5,60.0
Gwalior,SO2,14.666666666666666
Hajipur,CO,16.0
Hajipur,NH3,4.0
Hajipur,NO2,12.0
Hajipur,OZONE,22.0
Hajipur,PM10,38.0
Hajipur,PM2.5,45.0
Hajipur,SO2,4.0
Haldia,CO,22.0
Haldia,NH3,4.0
Haldia,NO2,7.0
Haldia,OZONE,30.0
Haldia,PM10,37.0
Haldia,PM2.5,16.0
Haldia,SO2,10.0
Hanumangarh,CO,14.0
Hanumangarh,NH3,10.0
Hanumangarh,NO2,20.0
Hanumangarh,OZONE,18.0
Hanumangarh,PM10,48.0
Hanumangarh,PM2.5,39.0
Hanumangarh,SO2,3.0
Hapur,CO,40.0
Hapur,NH3,13.0
Hapur,NO2,21.0
Hapur,OZONE,16.0
Hapur,PM10,59.0
Hapur,PM2.5,59.0
Hapur,SO2,11.0
Hosur,CO,17.0
Hosur,NH3,1.0
Hosur,NO2,1.0
Hosur,OZONE,10.0
Hosur,PM10,47.0
Hosur,PM2.5,41.0
Hosur,SO2,41.0
Howrah,CO,27.25
Howrah,NH3,6.0
Howrah,NO2,18.4
Howrah,OZONE,22.6
Howrah,PM10,37.2
Howrah,PM2.5,19.8
Howrah,SO2,8.6
Hubballi,CO,14.0
Hubballi,NH3,1.0
Hubballi,NO2,7.0
Hubballi,OZONE,11.0
Hubballi,PM10,42.0
Hubballi,PM2.5,30.0
Hubballi,SO2,25.940549828178693
Hyderabad,CO,24.067776896642876
Hyderabad,NH3,11.313516609392897
Hyderabad,NO2,22.298546127412106
Hyderabad,OZONE,23.298546127412106
Hyderabad,PM10,49.485137457044665
Hyderabad,PM2.5,35.36174993391488
Hyderabad,SO2,13.144699973565952
Indore,CO,21.0
Indore,NH3,10.313516609392897
Indore,NO2,24.0
Indore,OZONE,9.8
Indore,PM10,24.4
Indore,PM2.5,23.0
Indore,SO2,29.8
Jabalpur,CO,19.75
Jabalpur,NH3,2.0
Jabalpur,NO2,30.0
Jabalpur,OZONE,13.25
Jabalpur,PM10,40.75
Jabalpur,PM2.5,36.75
Jabalpur,SO2,19.0
Jaipur,CO,42.5
Jaipur,NH3,11.990091638029782
Jaipur,NO2,38.333333333333336
Jaipur,OZONE,14.666666666666666
Jaipur,PM10,58.333333333333336
Jaipur,PM2.5,41.0
Jaipur,SO2,11.0
Jaisalmer,CO,21.0
Jaisalmer,NH3,5.0
Jaisalmer,NO2,7.0
Jaisalmer,OZONE,38.0
Jaisalmer,PM10,114.0
Jaisalmer,PM2.5,39.0
Jaisalmer,SO2,6.0
Jalandhar,CO,29.0
Jalandhar,NH3,25.940549828178693
Jalandhar,NO2,25.940549828178693
Jalandhar,OZONE,48.0
Jalandhar,PM10,66.0
Jalandhar,PM2.5,49.0
Jalandhar,SO2,16.0
Jalgaon,CO,9.0
Jalgaon,NH3,3.0
Jalgaon,NO2,6.0
Jalgaon,OZONE,18.0
Jalgaon,PM10,33.0
Jalgaon,PM2.5,37.0
Jalgaon,SO2,8.0
Jalna,CO,7.0
Jalna,NH3,3.0
Jalna,NO2,44.0
Jalna,OZONE,15.0
Jalna,PM10,48.0
Jalna,PM2.5,48.0
Jalna,SO2,3.0
Jalore,CO,11.0
Jalore,NH3,6.0
Jalore,NO2,12.0
Jalore,OZONE,15.0
Jalore,PM10,116.0
Jalore,PM2.5,38.0
Jalore,SO2,2.0
Jhalawar,CO,18.0
Jhalawar,NH3,3.0
Jhalawar,NO2,38.0
Jhalawar,OZONE,11.0
Jhalawar,PM10,29.0
Jhalawar,PM2.5,23.0
Jhalawar,SO2,7.0
Jhansi,CO,10.0
Jhansi,NH3,4.0
Jhansi,NO2,6.0
Jhansi,OZONE,6.0
Jhansi,PM10,87.0
Jhansi,PM2.5,89.0
Jhansi,SO2,7.0
Jhunjhunu,CO,22.0
Jhunjhunu,NH3,7.0
Jhunjhunu,NO2,12.0
Jhunjhunu,OZONE,14.0
Jhunjhunu,PM10,52.0
Jhunjhunu,PM2.5,30.0
Jhunjhunu,SO2,3.0
Jodhpur,CO,17.4
Jodhpur,NH3,3.8
Jodhpur,NO2,10.6
Jodhpur,OZONE,13.6
Jodhpur,PM10,85.4
Jodhpur,PM2.5,46.0
Jodhpur,SO2,3.8
Jorapokhar,CO,66.0
Jorapokhar,OZONE,11.0
Jorapokhar,PM10,32.0
Jorapokhar,SO2,4.0
Kalaburagi,CO,36.5
Kalaburagi,NH3,2.0
Kalaburagi,NO2,12.5
Kalaburagi,OZONE,22.970274914089345
Kalaburagi,PM10,40.5
Kalaburagi,PM2.5,34.0
Kalaburagi,SO2,25.5
Kalyan,CO,25.940549828178693
Kalyan,NH3,25.940549828178693
Kalyan,NO2,25.940549828178693
